DBN,Location,Location Type,Total_GC&SW,Total GC,Total SW,Full Time GC,Full Time SW
21K559,Life Academy High School for Film and Music,High school,2.2,2.0,0.2,2.0,0.0
21K572,Expeditionary Learning School for Community Leader,High school,3.0,1.0,2.0,1.0,2.0
21K620,William E. Grady Career and Technical Education Hi,High school,5.8,3.8,2.0,3.0,2.0
21K690,Brooklyn Studio Secondary School,Secondary School,4.2,4.0,0.2,4.0,0.0
21K728,Liberation Diploma Plus,High school,3.0,2.0,1.0,2.0,1.0
22K014,J.H.S. 014 Shell Bank,Junior High-Intermediate-Middle,1.3,1.0,0.3,1.0,0.0
22K052,P.S. 052 Sheepshead Bay,Elementary,3.0,1.0,2.0,1.0,2.0
22K078,J.H.S. 078 Roy H. Mann,Junior High-Intermediate-Middle,3.3,2.0,1.3,2.0,1.0
22K109,P.S. 109,K-8,4.0,2.0,2.0,2.0,2.0
22K119,P.S. 119 Amersfort,Elementary,1.0,1.0,0.0,1.0,0.0
22K134,P.S. K134,Elementary,1.0,1.0,0.0,1.0,0.0
22K139,P.S. 139 Alexine A. Fenty,Elementary,3.0,2.0,1.0,2.0,1.0
22K152,School of Science & Technology,Elementary,2.0,1.0,1.0,1.0,1.0
22K193,P.S. 193 Gil Hodges,Elementary,2.0,1.0,1.0,1.0,1.0
22K194,P.S. 194 Raoul Wallenberg,Elementary,2.0,1.0,1.0,1.0,1.0
22K195,P.S. 195 Manhattan Beach,Elementary,0.4,0.4,0.0,0.0,0.0
22K197,P.S. 197 - The Kings Highway Academy,Elementary,1.0,1.0,0.0,1.0,0.0
22K198,P.S. 198 Brooklyn,Elementary,2.0,1.0,1.0,1.0,1.0
22K203,P.S. 203 Floyd Bennett School,Elementary,2.0,1.0,1.0,1.0,1.0
22K206,P.S. 206 Joseph F Lamb,K-8,4.0,3.0,1.0,3.0,1.0
22K207,P.S. 207 Elizabeth G. Leary,K-8,3.4,2.4,1.0,2.0,1.0
