DBN,School  Information                                                                                                         School Name,Location Type,"Total Guidance Counselors (GC) & Social Workers (SW)


(includes GCs, SWs, ATRs, School Response Clinicians, High Needs Counselors, High Need SWs, Single Shepherds, Bridging the Gap SWs)",Total GC,Total SW,Counts by Role Specificaiton           Full-time GC,Counts by Role Specification                       Full-Time SW,Count by Role Specification          Part-time GC,Count by Role Specification           Part-Time SW,Additional Role Specifications      Bilingual GC,Additional Role Specifications        Bilingual SW,Additional Role Specifications        GC Serving More than One Location,Additional Role Specifications        SW Serving More than One Location,Program Designations Included in Counts      Bridging the Gap,Program Designations Included in Counts        High Needs SW,Program Designations Included in Counts        High Needs GC,Program Designations Included in Counts        School Response Clinician,Program Designations Included in Counts               Single Shepherd,Additional Supports      Learning to Work,Additional Supports              CBO Partner,Enrollment and Ratios   2019-20 SY Enrollment,Enrollment and Ratios           Ratio GC & SW,Enrollment and Ratios                   Ratio GC Only,Enrollment and Ratios                     Ratio SW Only
03M402,The Urban Assembly School for Green Careers,HIGH SCHOOL,3.0,1,2,1,2,0,0,0,1,0,0,na,na,na,na,na,na,na,305,102,305,153
03M403,The Global Learning Collaborative,HIGH SCHOOL,1.0,1,0,1,0,0,0,1,0,0,0,na,na,na,na,na,na,na,419,419,419,419
03M404,Innovation Diploma Plus,HIGH SCHOOL,1.0,0,1,0,1,0,0,0,0,0,0,na,na,na,na,na,Learning to Work,na,175,175,175,175
03M415,Wadleigh Secondary School for the Performing & Vis,SECONDARY SCHOOL,3.0,3,0,3,0,0,0,0,0,0,0,na,na,na,na,na,na,na,313,104,104,313
03M417,Frank McCourt High School,HIGH SCHOOL,2.2,2,0.2,2,0,0,0.2,0,0,0,0.2,na,na,na,School Response Clinicians,na,na,na,402,186,201,402
03M421,West Prep Academy,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.2,2,0.2,2,0,0,0.2,0,0,0,0.2,na,na,na,School Response Clinicians,na,na,na,183,83,92,183
03M452,P.S. 452,ELEMENTARY,1.0,0,1,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,412,412,412,412
03M479,Beacon High School,HIGH SCHOOL,8.0,7,1,7,1,0,0,1,0,0,0,na,na,na,na,na,na,na,1469,184,210,1469
03M485,Fiorello H. LaGuardia High School of Music & Art a,HIGH SCHOOL,11.0,10,1,10,1,0,0,2,0,0,0,na,na,na,na,na,na,na,2946,268,295,2946
03M492,"High School for Law, Advocacy and Community Justic",HIGH SCHOOL,2.0,2,0,2,0,0,0,0,0,0,0,na,na,na,na,na,na,na,405,203,203,405
03M494,High School of Arts and Technology,HIGH SCHOOL,5.0,2,3,2,3,0,0,0,1,0,0,Bridging the Gap,na,na,na,na,na,na,459,92,230,153
03M505,Edward A. Reynolds West Side High School,HIGH SCHOOL,6.0,2,4,2,4,0,0,0,0,0,0,na,na,na,na,na,Learning to Work,na,381,64,191,95
03M541,Manhattan / Hunter Science High School,HIGH SCHOOL,3.2,2,1.2,2,1,0,0.2,0,0,0,0.2,na,na,na,School Response Clinicians,na,na,na,455,144,228,390
03M859,Special Music School,K-12 ALL GRADES,2.0,1,1,1,1,0,0,0,1,0,0,na,na,na,na,na,na,na,306,153,306,306
03M860,Frederick Douglass Academy II Secondary School,SECONDARY SCHOOL,3.3,3,0.3,3,0,0,0.3,0,0,0,0.3,na,na,na,School Response Clinicians,na,na,na,321,99,107,321
03M862,Mott Hall II,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.2,2,0.2,2,0,0,0.2,0,0,0,0.2,na,na,na,School Response Clinicians,na,na,na,415,192,208,415
04M007,P.S. 007 Samuel Stern,K-8,2.0,2,0,2,0,0,0,0,0,0,0,na,na,na,na,na,na,na,366,183,183,366
04M012,Tag Young Scholars,K-8,2.0,1,1,1,1,0,0,0,0,0,0,na,na,High Needs GC,na,na,na,na,600,300,600,600
04M037,River East Elementary,ELEMENTARY,2.0,1,1,1,1,0,0,0,0,0,0,na,na,na,na,na,na,na,265,133,265,265
04M038,P.S. 38 Roberto Clemente,ELEMENTARY,2.0,0,2,0,2,0,0,0,1,0,0,na,na,na,na,na,na,"BronxWorks, Inc.",243,122,243,122
04M057,James Weldon Johnson,K-8,3.0,1,2,1,2,0,0,0,0,0,0,Bridging the Gap,na,na,na,na,na,na,697,232,697,349
