DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
12X196,P.S. 196,2019-20,815,52,106,109,126,121,147,154,0,0,0,0,0,0,0,407,0.499,408,0.501,14,0.017,102,0.125,670,0.822,24,0.029,5,0.006,178,0.218,264,0.324,710,87.10%,93.30%
12X211,P.S. 211,2019-20,512,22,47,41,42,57,50,59,77,62,55,0,0,0,0,259,0.506,253,0.494,1,0.002,89,0.174,413,0.807,4,0.008,5,0.01,111,0.217,68,0.133,463,90.40%,93.80%
12X212,P.S. 212,2019-20,161,15,32,20,20,22,27,25,0,0,0,0,0,0,0,87,0.54,74,0.46,2,0.012,47,0.292,107,0.665,3,0.019,2,0.012,25,0.155,37,0.23,Above 95%,Above 95%,Above 95%
12X214,P.S. 214,2019-20,"1,083",48,57,86,88,118,110,120,150,153,153,0,0,0,0,555,0.512,528,0.488,28,0.026,265,0.245,761,0.703,18,0.017,11,0.01,211,0.195,166,0.153,Above 95%,Above 95%,91.70%
12X217,School of Performing Arts,2019-20,343,0,0,0,0,0,0,0,111,133,99,0,0,0,0,184,0.536,159,0.464,5,0.015,121,0.353,202,0.589,9,0.026,6,0.017,121,0.353,57,0.166,325,94.80%,94.90%
12X242,Mott Hall V,2019-20,662,0,0,0,0,0,0,0,102,97,100,112,83,89,79,336,0.508,326,0.492,26,0.039,109,0.165,520,0.785,5,0.008,2,0.003,196,0.296,85,0.128,590,89.10%,90.40%
12X248,"Metropolitan High School, The",2019-20,273,0,0,0,0,0,0,0,0,0,0,79,73,53,68,129,0.473,144,0.527,0,0,62,0.227,204,0.747,3,0.011,4,0.015,84,0.308,71,0.26,Above 95%,Above 95%,Above 95%
12X251,Explorations Academy H.S.,2019-20,314,0,0,0,0,0,0,0,0,0,0,95,84,62,73,126,0.401,188,0.599,5,0.016,83,0.264,219,0.697,4,0.013,3,0.01,82,0.261,72,0.229,277,88.20%,92.70%
12X267,Bronx Latin,2019-20,531,0,0,0,0,0,0,0,71,74,71,76,81,73,85,244,0.46,287,0.54,11,0.021,105,0.198,405,0.763,4,0.008,6,0.011,138,0.26,55,0.104,Above 95%,Above 95%,90.20%
12X271,East Bronx Academy for the Future,2019-20,647,0,0,0,0,0,0,0,85,89,97,114,90,90,82,316,0.488,331,0.512,21,0.032,167,0.258,437,0.675,18,0.028,4,0.006,183,0.283,88,0.136,584,90.30%,94.00%
12X273,Frederick Douglass Academy V. Middle School,2019-20,182,0,0,0,0,0,0,0,55,59,68,0,0,0,0,91,0.5,91,0.5,2,0.011,50,0.275,126,0.692,2,0.011,2,0.011,57,0.313,29,0.159,168,92.30%,Above 95%
12X286,Fannie Lou Hamer Middle School,2019-20,284,0,0,0,0,0,0,0,93,92,99,0,0,0,0,129,0.454,155,0.546,3,0.011,76,0.268,193,0.68,3,0.011,9,0.032,64,0.225,49,0.173,245,86.30%,91.00%
12X300,The School of Science and Applied Learning,2019-20,550,16,76,68,107,79,106,98,0,0,0,0,0,0,0,282,0.513,268,0.487,5,0.009,191,0.347,338,0.615,6,0.011,10,0.018,171,0.311,66,0.12,515,93.60%,Above 95%
12X314,Fairmont Neighborhood School,2019-20,279,36,38,48,31,34,47,45,0,0,0,0,0,0,0,144,0.516,135,0.484,0,0,102,0.366,171,0.613,1,0.004,5,0.018,87,0.312,35,0.125,264,94.60%,Above 95%
12X316,Kappa III,2019-20,363,0,0,0,0,0,0,0,119,120,124,0,0,0,0,166,0.457,197,0.543,8,0.022,91,0.251,255,0.702,6,0.017,3,0.008,99,0.273,34,0.094,329,90.60%,92.60%
12X318,"I.S. X318 Math, Science & Technology Through Arts",2019-20,226,0,0,0,0,0,0,0,74,77,75,0,0,0,0,101,0.447,125,0.553,0,0,79,0.35,144,0.637,1,0.004,2,0.009,69,0.305,36,0.159,Above 95%,Above 95%,94.10%
12X341,Accion Academy,2019-20,384,0,0,0,0,0,0,0,121,95,168,0,0,0,0,195,0.508,189,0.492,4,0.01,85,0.221,284,0.74,6,0.016,5,0.013,101,0.263,101,0.263,Above 95%,Above 95%,Above 95%
12X383,Emolior Academy,2019-20,349,0,0,0,0,0,0,0,116,135,98,0,0,0,0,158,0.453,191,0.547,29,0.083,84,0.241,232,0.665,3,0.009,1,0.003,84,0.241,71,0.203,319,91.40%,91.70%
12X388,Pan American International High School at Monroe,2019-20,426,0,0,0,0,0,0,0,0,0,0,135,104,138,49,189,0.444,237,0.556,0,0,2,0.005,423,0.993,1,0.002,0,0,6,0.014,370,0.869,Above 95%,Above 95%,Above 95%
12X446,Arturo A. Schomburg Satellite Academy Bronx,2019-20,175,0,0,0,0,0,0,0,0,0,0,0,89,32,54,95,0.543,80,0.457,3,0.017,50,0.286,113,0.646,3,0.017,6,0.034,49,0.28,22,0.126,155,88.60%,91.40%
12X458,Samara Community School,2019-20,287,31,45,43,44,42,43,39,0,0,0,0,0,0,0,152,0.53,135,0.47,0,0,30,0.105,254,0.885,1,0.003,2,0.007,65,0.226,45,0.157,Above 95%,Above 95%,86.80%
12X463,Urban Scholars Community School,2019-20,292,27,40,42,39,41,47,56,0,0,0,0,0,0,0,144,0.493,148,0.507,3,0.01,125,0.428,159,0.545,4,0.014,1,0.003,78,0.267,42,0.144,Above 95%,Above 95%,94.90%
12X478,The Cinema School,2019-20,355,0,0,0,0,0,0,0,0,0,0,122,83,81,69,196,0.552,159,0.448,6,0.017,61,0.172,268,0.755,11,0.031,9,0.025,73,0.206,17,0.048,300,84.50%,87.20%
12X479,Bronx Career and College Preparatory High School,2019-20,275,0,0,0,0,0,0,0,0,0,0,89,99,53,34,139,0.505,136,0.495,6,0.022,88,0.32,172,0.625,7,0.025,2,0.007,86,0.313,50,0.182,247,89.80%,94.10%
12X480,Bronx Regional High School,2019-20,183,0,0,0,0,0,0,0,0,0,0,0,55,47,81,100,0.546,83,0.454,4,0.022,79,0.432,96,0.525,0,0,4,0.022,39,0.213,17,0.093,157,85.80%,89.90%
12X511,Bronx Envision Academy,2019-20,393,0,0,0,0,0,0,0,0,0,0,113,95,111,74,204,0.519,189,0.481,6,0.015,128,0.326,247,0.628,5,0.013,7,0.018,111,0.282,58,0.148,339,86.30%,92.00%
12X521,The Metropolitan Soundview High School,2019-20,422,0,0,0,0,0,0,0,0,0,0,125,119,110,68,194,0.46,228,0.54,10,0.024,85,0.201,314,0.744,5,0.012,8,0.019,102,0.242,60,0.142,393,93.10%,89.00%
