DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
31R060,P.S. 060 Alice Austen,2019-20,800,35,126,117,114,120,145,143,0,0,0,0,0,0,0,387,0.484,413,0.516,140,0.175,30,0.038,200,0.25,23,0.029,407,0.509,209,0.261,32,0.04,474,59.20%,47.00%
31R061,I.S. 061 William A Morris,2019-20,976,0,0,0,0,0,0,0,338,325,313,0,0,0,0,522,0.535,454,0.465,30,0.031,324,0.332,476,0.488,18,0.018,128,0.131,294,0.301,106,0.109,786,80.50%,80.50%
31R062,The Kathleen Grimm School for Leadership and Susta,2019-20,379,18,99,71,64,74,53,0,0,0,0,0,0,0,0,198,0.522,181,0.478,12,0.032,2,0.005,52,0.137,5,0.013,308,0.813,71,0.187,7,0.018,122,32.20%,23.50%
31R063,Marsh Avenue School for Expeditionary Learning,2019-20,453,0,0,0,0,0,0,0,154,152,147,0,0,0,0,232,0.512,221,0.488,56,0.124,34,0.075,145,0.32,14,0.031,204,0.45,104,0.23,6,0.013,224,49.40%,41.60%
31R064,Gaynor McCown Expeditionary Learning School,2019-20,420,0,0,0,0,0,0,0,0,0,0,112,124,97,87,237,0.564,183,0.436,9,0.021,38,0.09,102,0.243,34,0.081,237,0.564,126,0.3,6,0.014,203,48.30%,42.70%
31R065,P.S. 65 The Academy of Innovative Learning,2019-20,428,36,61,63,65,74,66,63,0,0,0,0,0,0,0,219,0.512,209,0.488,11,0.026,81,0.189,215,0.502,33,0.077,88,0.206,145,0.339,18,0.042,278,65.00%,62.80%
31R066,The Richmond Pre-K Center,2019-20,625,625,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0.469,332,0.531,109,0.174,81,0.13,203,0.325,24,0.038,208,0.333,135,0.216,0,0,227,36.30%,44.90%
31R068,Port Richmond School for Visionary Learning,2019-20,291,36,55,78,62,60,0,0,0,0,0,0,0,0,0,148,0.509,143,0.491,19,0.065,70,0.241,148,0.509,13,0.045,41,0.141,69,0.237,14,0.048,220,75.60%,70.30%
31R069,P.S. 069 Daniel D. Tompkins,2019-20,892,40,135,135,128,173,136,145,0,0,0,0,0,0,0,385,0.432,507,0.568,231,0.259,19,0.021,193,0.216,23,0.026,426,0.478,218,0.244,130,0.146,550,61.70%,57.40%
31R072,I.S. 072 Rocco Laurie,2019-20,"1,582",0,0,0,0,0,0,0,542,513,527,0,0,0,0,732,0.463,850,0.537,358,0.226,80,0.051,414,0.262,37,0.023,693,0.438,338,0.214,68,0.043,998,63.10%,53.10%
